Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03,0.5228891029246424,0.5872016175815415,0.5200931064329786,0.5564436316490173,10799362,0.0,0.0
2000-01-04,0.5368699362681982,0.5368699362681982,0.5033154487609863,0.5033154487609863,12675326,0.0,0.0
2000-01-05,0.5061120071693537,0.5452585220336914,0.4865384926547889,0.5452585220336914,9621184,0.0,0.0
2000-01-06,0.5424623669479444,0.5564434041553926,0.539665889570002,0.5536468625068665,24240133,0.0,0.0
2000-01-07,0.5592393963393641,0.5676278648489859,0.5452584226782329,0.5508509278297424,11776899,0.0,0.0
2000-01-10,0.5648319910888967,0.5788129669677987,0.5620360272872672,0.570424497127533,11531932,0.0,0.0
2000-01-11,0.5816088236188078,0.5816088236188078,0.5648318246124691,0.5676277875900269,7849357,0.0,0.0
2000-01-12,0.5732205746581537,0.5732205746581537,0.5508511245008079,0.5564436316490173,4359363,0.0,0.0
2000-01-13,0.5732204744511016,0.5760170167540771,0.5424624938955077,0.5452585220336914,11067235,0.0,0.0
2000-01-14,0.5480550527572632,0.5620360945807348,0.5396660677477914,0.5480550527572632,11209974,0.0,0.0
2000-01-17,0.5452583484639444,0.5760168333931137,0.5452583484639444,0.5676277875900269,5404347,0.0,0.0
2000-01-18,0.5676278354437309,0.5676278354437309,0.5452583944317989,0.5536468625068665,6653788,0.0,0.0
2000-01-19,0.5564435878724989,0.5564435878724989,0.5396660677477914,0.5480550527572632,5462248,0.0,0.0
2000-01-20,0.5452584767540765,0.5564434881663659,0.5312774374357926,0.5368699431419373,4608149,0.0,0.0
2000-01-21,0.5480551007365083,0.5480551007365083,0.5172966003661947,0.5256850719451904,3902515,0.0,0.0
2000-01-24,0.531277347542052,0.531277347542052,0.5145003795623779,0.5145003795623779,2587537,0.0,0.0
2000-01-25,0.5145003795623779,0.5145003795623779,0.5145003795623779,0.5145003795623779,0,0.0,0.0
2000-01-26,0.511703610420227,0.5200926530472202,0.5061116544469382,0.511703610420227,7666109,0.0,0.0
2000-01-27,0.5145005417916996,0.5228890444941963,0.5033155287451545,0.5061120390892029,4185871,0.0,0.0
2000-01-28,0.5089078757331078,0.5089078757331078,0.4893343661200805,0.4921308755874634,4378664,0.0,0.0
